7zip 24.09-3
python-stack-data 0.6.3-4
python-tomli 2.0.1-5
python-tornado 6.4.2-1
python-traitlets 5.14.3-3
python-trio 0.26.2-2
python-trio-websocket 0.11.1-4
python-trove-classifiers 2024.10.21.16-3
python-typeguard 4.4.1-1
python-typing_extensions 4.12.2-3
python-urllib3 2.3.0-1
python-userpath 1.9.2-3
python-validate-pyproject 0.22-2
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-websocket-client 1.8.0-2
python-werkzeug 3.1.3-1
python-wheel 0.45.0-3
python-wsproto 1.2.0-5
python-yaml 6.0.2-2
python-yarl 1.9.4-4
python-zipp 3.21.0-2
python2-bin 2.7.18_1-1
python2-bin-debug 2.7.18_1-1
qbittorrent 5.0.3-1
qhull 2020.2-5
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-location 5.15.16+kde+r7-3
qt5-multimedia 5.15.16+kde+r2-3
qt5-quickcontrols 5.15.16-3
qt5-quickcontrols2 5.15.16+kde+r5-3
qt5-remoteobjects 5.15.16-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-5
qt5-x11extras 5.15.16-3
qt6-base 6.8.1-1
qt6-svg 6.8.1-1
qt6-translations 6.8.1-1
ranger 1.9.4-2
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.013-1
redland 1:1.0.17-9
rnnoise 1:0.2-1
rofi 1.7.7-1
rsync 3.3.0-2
rtkit 0.13-3
rubberband 4.0.0-1
ruby 3.3.5-2
ruby-bundled-gems 3.3.5-2
ruby-bundler 2.6.0-1
ruby-debug 1.9.1-1
ruby-default-gems 3.3.5-2
ruby-erb 4.0.4-6
ruby-irb 1.13.1-2
ruby-manpages 0.6.1-6
ruby-matrix 0.4.2-2
ruby-minitest 5.22.3-2
ruby-net-ftp 0.3.5-3
ruby-net-imap 0.4.12-3
ruby-net-pop 0.1.2-3
ruby-net-smtp 0.5.0-3
ruby-optimist 3.1.0-3
ruby-paint 2.3.0-4
ruby-power_assert 2.0.4-1
ruby-prime 0.1.2-2
ruby-racc 1.7.3-1
ruby-rake 13.1.0-1
ruby-rbs 3.4.4-3
ruby-rdoc 6.6.3.1-2
ruby-rexml 3.3.9-1
ruby-rss 0.3.1-2
ruby-stdlib 3.3.5-2
ruby-test-unit 3.6.2-3
ruby-typeprof 0.21.9-1
rubygems 3.5.16-1
runc 1.2.3-1
sbc 2.0-2
sdl2 2.30.11-1
sed 4.9-3
semver 7.6.3-1
sequoia-sqv 1.2.1-1
sgml-common 0.6.3-9
shaderc 2024.3-2
shadow 4.16.0-1
shapelib 1.6.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
snappy 1.2.1-2
sndio 1.10.0-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-13
spandsp 0.0.6-5
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc1-1
spotify-launcher 0.6.3-1
spotify-tui 0.25.0-4
spotify-tui-debug 0.25.0-4
spotifyd 0.3.5-1
sqlite 3.47.2-1
srt 1.5.4-1
starship 1.21.1-1
startup-notification 0.12-8
stremio 4.4.168-1
stremio-debug 4.4.168-1
sudo 1.9.16.p2-2
svt-av1 2.3.0-1
sxhkd-git 192.b0923b6-1
systemd 257.1-1
systemd-libs 257.1-1
systemd-sysvcompat 257.1-1
taglib 2.0.2-1
tar 1.35-2
task 3.2.0-2
tcl 8.6.16-1
tcpdump 4.99.5-1
tdb 1.4.12-2
termshark 2.4.0-2
terraform 1.10.2-1
texinfo 7.1.1-1
thunar 4.20.1-1
tinysparql 3.8.2-2
tk 8.6.16-1
tpm2-tss 4.1.3-1
traceroute 2.1.6-1
tree 2.1.3-1
tree-sitter 0.24.6-1
tree-sitter-bash 0.23.3-1
tree-sitter-c 0.23.4-1
